id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG13-048,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/462356273,"As GA4 is not fetching data from past 25 days, consent is been getting dennied.",en,"GA4 nesbírá data 25 dní, protože souhlas je stále vyhodnocen jako odmítnutý",consent_change,až po 25 dnech bez dat,25 dní,měsíc chybějících dat kvůli špatně nastavenému consentu,B1;B3;G1,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-040
NG13-049,2026-09-04,US,eshop_mid,support_community,https://support.google.com/analytics/thread/464219063,"Title: GA4 Realtime works, but standard reports show 0 sessions since a BigCommerce platform migrati[on] ... Property: Murray Percival G4 (single web data stream, murraypercival.com, tagged via BigCommerce's n[ative]",en,"Migrace na BigCommerce: realtime funguje, standardní reporty ukazují nula sessions",platform_migration,kontrolou standardních reportů po migraci,neuvedeno (od migrace),nula sessions ve standardních reportech - reporting a atribuce mimo provoz,A1;C3;G1;H1,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-041
NG13-050,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/464272441,"No data in reports since 8/24, but realtime works ... Since August 24, 2026, our standard Reports have shown zero sessions. It is a hard flat line, not a [gradual decline]",en,"Standardní reporty ukazují tvrdou nulu od 24.8., realtime funguje",ga4_change,z reportu (rovná čára na nule),od 24.8. (hlášeno ~11 dní),"žádná data v reportech, jen realtime; nelze reportovat ani optimalizovat",G1;G6;C5,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-042
NG13-051,2026-09-04,EU,unknown,support_community,https://support.google.com/analytics/thread/464410016,"GA4 standard property: data processing stopped 31+ hours ago, Realtime still working ... Standard GA4 property, timezone Europe/Paris, web + iOS + Android streams. ISSUE Data processing sto[pped]",en,"Zpracování dat v GA4 se zastavilo, realtime přitom běží dál",ga4_change,kontrolou zpoždění dat,31 hodin,31+ hodin bez zpracovaných dat na property se třemi streamy,G1;G6;C5,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-043
NG13-052,2026-09-04,GLOBAL,agency,support_community,https://support.google.com/analytics/thread/464063636,My revenue data is not tracking for 2 of my important clients. I need assitance for this.,en,Agentura: dvěma klientům se neměří tržby,revenue_mismatch,kontrolou reportů klientů,neuvedeno,nulová data o tržbách u dvou klientů agentury,G2;G1;D5;H3,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-044
NG13-053,2026-09-04,EU,unknown,support_community,https://support.google.com/analytics/thread/463860965,GA4 Behavioral Modeling unavailable after 10 days above published thresholds ... We manage a European website using GA4 with Advanced Consent Mode v2 and the Blended reportin[g],en,Advanced Consent Mode v2: modelování chování se nezapíná ani po 10 dnech nad limity,consent_change,"sledováním, zda se modelování zapne",10 dní,"chybí modelovaná data u souhlas-odmítnutých uživatelů, čísla jsou trvale podměřená",B2;B1;C5;F3,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-045
NG13-054,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/464042330,"My website experienced sudden spikes in Unassigned traffic on August 2, 3, 19, and 20. The sessions [...]",en,Opakované skoky v Unassigned trafficu ve čtyřech konkrétních dnech,utm_chaos,z reportu kanálů,"dny až týdny (skoky 2.,3.,19. a 20.8.)",traffic bez přiřazeného kanálu; atribuce v těchto dnech nepoužitelná,C4;D4;G3,no,Kampaně spadly do Direct / (not set) - atribuce slepá,EG13-046
NG13-055,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/464932990,"Hi, found discrepancies in the month of August between MonsterInsights and GA, how do I verify that? ... Visits on MonsterInsighths are much higher (as usual) while on GA it seems like visits dropped massi[vely]",en,"Rozjetá čísla mezi dvěma nástroji; uživatel neví, kterému věřit",revenue_mismatch,srovnáním dvou nástrojů,1 měsíc (srpen),"nelze určit, které číslo je správné - ztráta důvěry v data",G2;C4;F3;H3,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-047
NG13-056,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/464258271,Lost access without any revoking ... The GA accounts that were streaming data and connected to SiteKit have suddenly disappeared f[rom],en,GA účty napojené na Site Kit zmizely bez odebrání práv,access_lost,když účty zmizely z rozhraní,neuvedeno,"ztráta přístupu k účtům, které aktivně sbíraly data",C6;A3;H2,no,Odešel člověk / agentura drží přístupy,EG13-048
NG13-057,2026-09-04,GLOBAL,eshop_small,support_community,https://support.google.com/analytics/thread/464409779,Lost access to gtag.js account but tag is still running on my website through sitekit plugin ... I lost access to google tag manager after changing domain on gsuite email,en,"Změna domény u firemního e-mailu odřízla majitele od GTM, tag na webu běží dál",access_lost,při pokusu o úpravu měření,neuvedeno,"tag měří dál, ale nikdo k němu nemá přístup - nelze nic opravit ani vypnout",C6;A3;H2;H4,no,Odešel člověk / agentura drží přístupy,EG13-049
NG13-058,2026-09-04,US,b2b_leadgen,support_community,https://support.google.com/analytics/thread/464825608,GA4 admin recovery form wrongly requires a Google Ads customer ID ... I lost direct administrator access to an existing GA4 account after the previous administrato[r],en,"Odchod administrátora = ztráta přístupu k GA4, obnova zaseknutá na formuláři",access_lost,při pokusu o správu property,neuvedeno,firma nemá přístup k vlastnímu měření; obnova blokovaná procesem Googlu,C6;H2;H4,no,Odešel člověk / agentura drží přístupy,EG13-050
NG13-059,2026-09-04,GLOBAL,agency,support_community,https://support.google.com/tagmanager/thread/453567503,Sole admin left the company — no longer responsive — how to officially claim access to our GTM ... The only person who had admin access to our company's Google Tag Manager container has [left],en,Jediný správce GTM odešel z firmy a neodpovídá,access_lost,když bylo potřeba změnit tag,neuvedeno,firma nemůže sáhnout do vlastního GTM kontejneru - žádná změna měření není možná,C6;A3;H2;H4,no,Odešel člověk / agentura drží přístupy,EG13-051
NG13-060,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/tagmanager/thread/456117040,"Custom [HTML] tag reports ""Succeeded"" but produces zero network requests or console errors ... Container ID: GTM-KFNGMNTH I have a Custom HTML tag containing a standard Meta/Facebook Pixel script",en,"GTM hlásí úspěšné spuštění tagu, ale žádný požadavek neodejde",gtm_change_dev,kontrolou síťových požadavků v prohlížeči,neuvedeno,"Meta pixel neodesílá nic, přestože GTM hlásí 'Succeeded' - kontrola 'tag fired' selhává",G4;A4;D2,no,"Kontejner-černá skříňka: nikdo neví, co které tagy dělají",EG13-052
NG13-061,2026-09-04,EU,eshop_small,support_community,https://support.google.com/tagmanager/thread/458883142,"""Purchase conversion not registering despite tag firing correctly (Tag Assistant confirmed)"" ... My Purchase conversion action has shown 'Etiqueta inactiva' since July 24, despite confirming via Go[ogle Tag Assistant]",en,"Google Ads označuje konverzní akci jako 'neaktivní tag', přestože Tag Assistant potvrzuje spuštění",ad_platform_change,z hlášky 'Etiqueta inactiva' v Google Ads,od 24.7. (hlášeno v řádu týdnů),"Google Ads nepočítá purchase konverze, i když tag prokazatelně chodí",D1;G1;G4;G7,no,Smart Bidding týdny optimalizuje na rozbitá data (slepý spend),EG13-053
NG13-062,2026-09-04,GLOBAL,b2b_leadgen,support_community,https://support.google.com/tagmanager/thread/453993509,"Google Ads call click conversions not tracking ... I am using WordPress with GTM4WP and Google Tag Manager. My container is connected, but call [click conversions are not tracking]",en,Konverze z prokliků na telefon se neměří do Google Ads,ad_platform_change,z chybějících konverzí v Ads,neuvedeno,telefonní leady se nepočítají jako konverze - podhodnocený výkon kampaní,D1;A2;G1,no,Smart Bidding týdny optimalizuje na rozbitá data (slepý spend),EG13-054
NG13-063,2026-09-04,GLOBAL,saas_marketplace,support_community,https://support.google.com/tagmanager/thread/464962045,"[Android] Google Analytics events get lost when using sGTM ... We are experiencing an important events loss when we enable sGTM on our Android app, on average -10%",en,Zapnutí server-side GTM způsobilo trvalou ztrátu ~10 % eventů z Android aplikace,gtm_change_dev,srovnáním počtu eventů se sGTM a bez něj,neuvedeno,průměrně -10 % eventů po zapnutí sGTM - systematické podměřování,A5;G5;G4;G1,no,Někdo sáhl do GTM/dataLayeru bez koordinace,EG13-055
NG13-064,2026-09-04,GLOBAL,agency,support_community,https://support.google.com/tagmanager/thread/450754875,Tags flagged as malware for 10+ days on legitimate account — need manual review ... Our GTM account (containers GTM-T2C2QJBP and GTM-WC88M6BD) has had multiple tags automatically pause[d],en,Google automaticky pozastavil tagy jako malware; 10+ dní bez nápravy,gtm_change_dev,z upozornění v GTM / výpadku měření,10+ dní,"více tagů ve dvou kontejnerech automaticky pozastaveno, měření mimo provoz",A3;G4;G7;C5,no,"Kontejner-černá skříňka: nikdo neví, co které tagy dělají",EG13-056
NG13-065,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/tagmanager/thread/463977521,"GA4 gtag.js returning 503 for one specific Measurement ID. ... Since around Aug 26, 2026, the gtag.js request for our GA4 property's Measurement ID has been return[ing 503]",en,gtag.js vrací 503 jen pro jedno konkrétní Measurement ID,ga4_change,kontrolou síťových požadavků,od 26.8. (hlášeno ~týden),měření na dané property nefunguje kvůli chybě na straně Googlu,G5;G1;C5;G7,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-057
NG13-066,2026-09-04,GLOBAL,b2b_leadgen,support_community,https://support.google.com/google-ads/thread/464704329,"Aug impressions/clicks dropped 44-63% vs July, no changes made. Hit by 5 Aug policy update? ... Our Brand Awareness campaign received 616 impressions and 37 clicks in August 2026, down from 1,097",en,Propad impresí a prokliků o 44-63 % bez zásahu inzerenta po policy update Googlu,ad_platform_change,z meziměsíčního srovnání,1 měsíc,616 impresí místo 1 097; propad výkonu bez vysvětlení,D1;D4;F3;C5,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-058
NG13-067,2026-09-04,EU,eshop_mid,forum,https://community.shopify.com/t/why-is-my-shopify-analytics-not-working-correctly/266297,"Since 31st October, Shopify analytics has completely stopped working. The numbers are not adding up ... Sessions / adds to cart / conversions - not tracking. Revenue/orders - showing correctly.",en,"Platformní chyba: sessions, add_to_cart a konverze se neměří, tržby ano",platform_migration,z nesedících čísel na dashboardu,1 týden (31.10.-7.11.2023),"konverzní poměr a funnel nepoužitelné; tržby přitom sedí, takže výpadek nebyl nápadný",G1;G2;G3;F3,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-060
NG13-068,2026-09-04,EU,eshop_mid,forum,https://community.shopify.com/t/why-is-my-shopify-analytics-not-working-correctly/266297,there is still no resolution nearly 3 weeks later ... this was impacting GA4 and Google Ads as we were using the Shopify integration and we're coming into the busiest time of the year now and can't trust any of the data,en,"Tři týdny bez řešení, e-shop jde do vánoční sezóny bez důvěryhodných dat",platform_migration,eskalací přes 3 otevřené tickety,3 týdny bez řešení,vánoční sezóna bez důvěryhodných dat v GA4 i Google Ads; 3 otevřené tickety bez odpovědi,G1;G2;G7;H5;F3,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-060
NG13-069,2026-09-04,EU,eshop_mid,forum,https://community.shopify.com/t/why-is-my-shopify-analytics-not-working-correctly/266297,"Should I treat this as if 95% of visitors suddenly started using privacy apps on Nov 1, 2023? ... today we had 8 conversions and 0% conversion rate in the Shopify Analytics dashboard",en,Podpora svaluje výpadek na odmítnutí cookies; e-shop má 8 konverzí a 0% konverzní poměr,platform_migration,srovnáním objednávek a vykázaného konverzního poměru,"od 31.10., stále neopraveno",8 konverzí vykázaných jako 0% CR; oficiální vysvětlení (privacy apps) je pro merchanta neuvěřitelné,G2;B2;F3;H3,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-060
NG13-070,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/why-is-my-shopify-analytics-not-working-correctly/266297,I've lost all faith in Shopify analytics - it's absolute rubbish. You simply can't trust any of the 'data' at all!,en,Ztráta důvěry v data po měsících neřešeného výpadku,platform_migration,-,4 měsíce po začátku incidentu (únor 2024),merchant přestal data používat - nejhorší možný výsledek pro celý měřicí stack,G2;F3;H3;F4,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-060
NG13-071,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/facebook-pixel-error-same-event-id-received-for-many-event-instances/151651,"events aren't being deduplicated (including purchases), so FB pixel is totally hosed thinking performance is great, when it sucks ... a single click will produce 7 different events ... and they all have the same event ID and deduplication is not happening",en,Chybná deduplikace: jeden klik vygeneruje 7 eventů se stejným event ID,ad_platform_change,testováním eventů v Meta Events Manageru,od 9.2.2021 (přes rok a půl),"Meta vidí nafouknutý výkon, který neodpovídá realitě; rozhodování o rozpočtu na falešných číslech",D2;G4;A4;G2,no,Fake a duplicitní konverze nafukují čísla,EG13-061
NG13-072,2026-09-04,EU,eshop_small,forum,https://community.shopify.com/t/will-shopifys-native-privacy-compliance-app-support-google-consent-mode-v2/290159,Shopify does not yet support Google Consent Mode v2 for Google Tag Manager and Google Analytics integrations. We are unable to state if and when Shopify will include support,en,"Platforma nepodporuje consent mode v2 v době, kdy ho Google vyžaduje",consent_change,z požadavku Googlu na consent signály,"měsíce (leden-únor 2024, deadline Googlu březen 2024)",e-shopy musí řešit consent mode v2 mimo platformu nebo přijít o Ads funkce,B1;B3;D1;C5,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-062
NG13-073,2026-09-04,EU,eshop_small,forum,https://community.shopify.com/t/will-shopifys-native-privacy-compliance-app-support-google-consent-mode-v2/290159,"how do i link the cookie banner from Shopify to GTM? as GTM doesn't detect the click on the ""Accept"" cookies and my consent remains default - denied",en,"Nativní cookie lišta nepředává souhlas do GTM, consent zůstává 'denied'",consent_change,kontrolou stavu consentu v GTM,neuvedeno,"všechny tagy běží v režimu denied, měření je fakticky vypnuté",B1;B3;A4,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-062
NG13-074,2026-09-04,GLOBAL,eshop_small,forum,https://magento.stackexchange.com/questions/79298/google-analytics-stopped-working-after-magento-update,I recently updated from Magento 1.6.2 to 1.9.2.1 and I noticed that Google Analytics stopped tracking the website since I updated.,en,Upgrade Magenta shodil měření GA,platform_migration,kontrolou GA po upgradu,neuvedeno,web neměřen od data upgradu,A1;A4;H1;G1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-063
NG13-075,2026-09-04,GLOBAL,eshop_mid,forum,https://magento.stackexchange.com/questions/295055/google-analytics-not-recording-conversion-data-in-magento-2-3-2,We have recently updated to Magento 2.3.2 and google analytics module stopped working. I can see the empty array OrdersTrackingCode in generated google analytics code on frontend.,en,Upgrade Magento 2.3.2: modul GA generuje prázdné pole objednávek,platform_migration,kontrolou vygenerovaného kódu na frontendu,neuvedeno,konverzní data se neodesílají - prázdné OrdersTrackingCode,A1;A4;H1;G1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-064
NG13-076,2026-09-04,GLOBAL,eshop_small,forum,https://magento.stackexchange.com/questions/80744/magento-1-9-google-analytics-template-not-loading,"After upgrading from 1.6 to 1.9, my Magento site has stopped tracking in Google Analytics. ... Why isn't my ga.phtml file loading on the live site (but does load on my dev site)?",en,"Šablona měření se načítá na dev, ale ne na produkci",release_web,porovnáním dev a produkce,neuvedeno,"produkce bez měření, přestože testovací prostředí vypadá v pořádku - typický důvod pro QA po releasu",A1;A4;H1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-065
NG13-077,2026-09-04,GLOBAL,eshop_mid,forum,https://magento.stackexchange.com/questions/377681/meta-pixel-addtocart-and-purchase-events-not-firing-in-facebook-for-magento-2-ex,"After an order is successfully placed, no Purchase event is sent to Meta. ... It appears the pixel is redirecting back to the homepage rather than firing on the order success page.",en,Oficiální Meta rozšíření pro Magento 2 neodesílá purchase event,ad_platform_change,testem s Meta Pixel Helperem,neuvedeno,žádný purchase event do Meta - kampaně bez konverzních dat,D2;A1;A4;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-066
